Hour,WeekdayLoadFactor,WeekendLoadFactor
0, 0.592 , 0.489 
1, 0.550 , 0.455 
2, 0.446 , 0.398 
3, 0.549 , 0.408 
4, 0.523 , 0.433 
5, 0.490 , 0.405 
6, 0.535 , 0.418 
7, 0.543 , 0.477 
8, 0.479 , 0.458 
9, 0.465 , 0.463 
10, 0.473 , 0.497 
11, 0.499 , 0.497 
12, 0.481 , 0.505 
13, 0.538 , 0.397 
14, 0.532 , 0.295 
15, 0.531 , 0.293 
16, 0.584 , 0.287 
17, 0.601 , 0.279 
18, 0.636 , 0.289 
19, 0.647 , 0.308 
20, 0.631 , 0.302 
21, 0.611 , 0.298 
22, 0.847 , 0.300 
23, 0.755 , 0.292 
