Hour,WeekdayLoadFactor,WeekendLoadFactor,,,
0,0.06,0.03,,6,3.000000036
1,0.06,0.03,,6,3.000000036
2,0.06,0.03,,6,3.000000036
3,0.06,0.03,,6,3.000000036
4,0.06,0.03,,6,3.000000036
5,0.06,0.03,,6,3.000000036
6,0.2,0.03,,20,3.000000036
7,0.25,0.2,,25,20
8,0.25,0.25,,25,25
9,0.2,0.25,,20,25
10,0.2,0.2,,20,20
11,0.2,0.2,,20,20
12,0.2,0.2,,20,20
13,0.2,0.2,,20,20
14,0.2,0.2,,20,20
15,0.2,0.2,,20,20
16,0.2,0.2,,20,20
17,0.2,0.03,,20,3.000000036
18,0.2,0.03,,20,3.000000036
19,0.06,0.03,,6,3.000000036
20,0.06,0.03,,6,3.000000036
21,0.06,0.03,,6,3.000000036
22,0.06,0.03,,6,3.000000036
23,0.06,0.03,,6,3.000000036
