Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.257142857,0.128571429
1,0.285714286,0.142857143
2,0.342857143,0.171428571
3,0.371428571,0.185714286
4,0.428571429,0.214285714
5,0.285714286,0.142857143
6,0.342857143,0.171428571
7,0.742857143,0.371428571
8,0.814285714,0.407142857
9,0.685714286,0.342857143
10,0.485714286,0.242857143
11,0.428571429,0.214285714
12,0.428571429,0.214285714
13,0.371428571,0.185714286
14,0.285714286,0.142857143
15,0.314285714,0.157142857
16,0.371428571,0.185714286
17,0.371428571,0.185714286
18,0.342857143,0.171428571
19,0.428571429,0.214285714
20,0.428571429,0.214285714
21,0.4,0.2
22,0.314285714,0.157142857
23,0.285714286,0.142857143
