season,DayType,time,TOU
low,Weekday,00:00,OP
low,Weekday,01:00,OP
low,Weekday,02:00,OP
low,Weekday,03:00,OP
low,Weekday,04:00,OP
low,Weekday,05:00,OP
low,Weekday,06:00,STD
low,Weekday,07:00,PK
low,Weekday,08:00,PK
low,Weekday,09:00,STD
low,Weekday,10:00,STD
low,Weekday,11:00,STD
low,Weekday,12:00,STD
low,Weekday,13:00,STD
low,Weekday,14:00,STD
low,Weekday,15:00,STD
low,Weekday,16:00,STD
low,Weekday,17:00,STD
low,Weekday,18:00,PK
low,Weekday,19:00,PK
low,Weekday,20:00,PK
low,Weekday,21:00,STD
low,Weekday,22:00,OP
low,Weekday,23:00,OP
low,Sat,00:00,OP
low,Sat,01:00,OP
low,Sat,02:00,OP
low,Sat,03:00,OP
low,Sat,04:00,OP
low,Sat,05:00,OP
low,Sat,06:00,OP
low,Sat,07:00,STD
low,Sat,08:00,STD
low,Sat,09:00,STD
low,Sat,10:00,STD
low,Sat,11:00,STD
low,Sat,12:00,OP
low,Sat,13:00,OP
low,Sat,14:00,OP
low,Sat,15:00,OP
low,Sat,16:00,OP
low,Sat,17:00,OP
low,Sat,18:00,STD
low,Sat,19:00,STD
low,Sat,20:00,OP
low,Sat,21:00,OP
low,Sat,22:00,OP
low,Sat,23:00,OP
low,Sun,00:00,OP
low,Sun,01:00,OP
low,Sun,02:00,OP
low,Sun,03:00,OP
low,Sun,04:00,OP
low,Sun,05:00,OP
low,Sun,06:00,OP
low,Sun,07:00,OP
low,Sun,08:00,OP
low,Sun,09:00,OP
low,Sun,10:00,OP
low,Sun,11:00,OP
low,Sun,12:00,OP
low,Sun,13:00,OP
low,Sun,14:00,OP
low,Sun,15:00,OP
low,Sun,16:00,OP
low,Sun,17:00,OP
low,Sun,18:00,STD
low,Sun,19:00,STD
low,Sun,20:00,OP
low,Sun,21:00,OP
low,Sun,22:00,OP
low,Sun,23:00,OP
high,Weekday,00:00,OP
high,Weekday,01:00,OP
high,Weekday,02:00,OP
high,Weekday,03:00,OP
high,Weekday,04:00,OP
high,Weekday,05:00,OP
high,Weekday,06:00,PK
high,Weekday,07:00,PK
high,Weekday,08:00,STD
high,Weekday,09:00,STD
high,Weekday,10:00,STD
high,Weekday,11:00,STD
high,Weekday,12:00,STD
high,Weekday,13:00,STD
high,Weekday,14:00,STD
high,Weekday,15:00,STD
high,Weekday,16:00,STD
high,Weekday,17:00,PK
high,Weekday,18:00,PK
high,Weekday,19:00,PK
high,Weekday,20:00,STD
high,Weekday,21:00,STD
high,Weekday,22:00,OP
high,Weekday,23:00,OP
high,Sat,00:00,OP
high,Sat,01:00,OP
high,Sat,02:00,OP
high,Sat,03:00,OP
high,Sat,04:00,OP
high,Sat,05:00,OP
high,Sat,06:00,OP
high,Sat,07:00,STD
high,Sat,08:00,STD
high,Sat,09:00,STD
high,Sat,10:00,STD
high,Sat,11:00,STD
high,Sat,12:00,OP
high,Sat,13:00,OP
high,Sat,14:00,OP
high,Sat,15:00,OP
high,Sat,16:00,OP
high,Sat,17:00,STD
high,Sat,18:00,STD
high,Sat,19:00,OP
high,Sat,20:00,OP
high,Sat,21:00,OP
high,Sat,22:00,OP
high,Sat,23:00,OP
high,Sun,00:00,OP
high,Sun,01:00,OP
high,Sun,02:00,OP
high,Sun,03:00,OP
high,Sun,04:00,OP
high,Sun,05:00,OP
high,Sun,06:00,OP
high,Sun,07:00,OP
high,Sun,08:00,OP
high,Sun,09:00,OP
high,Sun,10:00,OP
high,Sun,11:00,OP
high,Sun,12:00,OP
high,Sun,13:00,OP
high,Sun,14:00,OP
high,Sun,15:00,OP
high,Sun,16:00,OP
high,Sun,17:00,STD
high,Sun,18:00,STD
high,Sun,19:00,OP
high,Sun,20:00,OP
high,Sun,21:00,OP
high,Sun,22:00,OP
high,Sun,23:00,OP
