month_name,hour,mean,count,std,load_factor,load_factor_pct
April,0,98.3672,30,10.3361,0.2721,27.2134
April,1,81.2061,30,6.2624,0.2247,22.4657
April,2,88.6617,30,7.3513,0.2453,24.5283
April,3,113.6294,30,8.2492,0.3144,31.4357
April,4,127.4133,30,7.2727,0.3525,35.249
April,5,127.0128,30,9.2059,0.3514,35.1382
April,6,147.1289,30,11.7208,0.407,40.7033
April,7,183.4989,30,22.4212,0.5077,50.7651
April,8,170.34,30,20.1351,0.4712,47.1247
April,9,167.4728,30,14.2379,0.4633,46.3315
April,10,158.8739,30,14.4778,0.4395,43.9526
April,11,157.9933,30,15.938,0.4371,43.709
April,12,147.4706,30,15.5005,0.408,40.7978
April,13,143.7739,30,14.1492,0.3978,39.7751
April,14,130.6461,30,16.1765,0.3614,36.1433
April,15,126.1078,30,16.564,0.3489,34.8878
April,16,144.0689,30,24.0374,0.3986,39.8568
April,17,144.8161,30,19.3244,0.4006,40.0635
April,18,154.74,30,14.9192,0.4281,42.8089
April,19,141.1839,30,10.7435,0.3906,39.0586
April,20,125.9456,30,11.9258,0.3484,34.8429
April,21,120.7628,30,8.37,0.3341,33.4091
April,22,116.2411,30,8.1051,0.3216,32.1582
April,23,89.9917,30,7.1887,0.249,24.8963
August,0,109.4803,25,13.8144,0.3029,30.2878
August,1,87.9085,25,10.5533,0.2432,24.3199
August,2,101.1372,25,9.9878,0.2798,27.9797
August,3,115.3897,25,12.2033,0.3192,31.9226
August,4,129.8789,25,8.4663,0.3593,35.9311
August,5,144.0773,25,11.6952,0.3986,39.8591
August,6,177.0176,25,17.8865,0.4897,48.972
August,7,215.6495,25,32.5655,0.5966,59.6596
August,8,209.0537,25,35.6016,0.5783,57.8349
August,9,190.3257,25,24.345,0.5265,52.6537
August,10,168.4864,25,20.4298,0.4661,46.6119
August,11,158.6889,25,21.9425,0.439,43.9014
August,12,147.7156,25,29.6764,0.4087,40.8656
August,13,139.8903,25,25.6948,0.387,38.7008
August,14,136.4876,25,13.7593,0.3776,37.7594
August,15,141.6371,25,17.6501,0.3918,39.184
August,16,153.2674,25,22.8416,0.424,42.4015
August,17,165.1779,25,23.941,0.457,45.6966
August,18,176.9799,25,29.5938,0.4896,48.9616
August,19,167.5202,25,27.337,0.4634,46.3446
August,20,153.5911,25,22.8674,0.4249,42.4911
August,21,137.3168,25,21.993,0.3799,37.9888
August,22,122.8757,25,19.9046,0.3399,33.9936
August,23,93.3709,25,8.5122,0.2583,25.8311
December,0,85.5782,13,4.333,0.2368,23.6753
December,1,82.6051,13,5.6186,0.2285,22.8528
December,2,89.2013,13,6.1184,0.2468,24.6776
December,3,88.9077,13,8.4265,0.246,24.5964
December,4,111.5205,13,6.7904,0.3085,30.8522
December,5,128.9577,13,7.9292,0.3568,35.6762
December,6,136.8269,13,9.7789,0.3785,37.8533
December,7,143.5538,13,7.8455,0.3971,39.7143
December,8,158.4538,13,13.135,0.4384,43.8364
December,9,150.3782,13,14.5434,0.416,41.6022
December,10,142.2577,13,6.9161,0.3936,39.3557
December,11,149.6346,13,10.4704,0.414,41.3965
December,12,147.9513,13,13.2692,0.4093,40.9308
December,13,139.9949,13,11.8712,0.3873,38.7297
December,14,126.2628,13,13.1606,0.3493,34.9307
December,15,129.4295,13,14.9261,0.3581,35.8068
December,16,130.8756,13,14.5632,0.3621,36.2068
December,17,137.1524,14,20.2135,0.3794,37.9433
December,18,137.3726,14,17.6217,0.38,38.0042
December,19,131.7286,14,10.6226,0.3644,36.4428
December,20,115.969,14,8.8108,0.3208,32.0829
December,21,111.4869,14,7.5745,0.3084,30.8429
December,22,113.975,14,5.3874,0.3153,31.5313
December,23,81.344,14,4.4995,0.225,22.5039
February,0,88.9136,27,8.1875,0.246,24.598
February,1,80.3309,27,6.9929,0.2222,22.2236
February,2,86.15,27,7.0377,0.2383,23.8335
February,3,101.5309,27,9.063,0.2809,28.0886
February,4,115.1765,27,8.8717,0.3186,31.8637
February,5,120.4469,27,12.933,0.3332,33.3217
February,6,141.221,27,16.0539,0.3907,39.0689
February,7,163.1,27,16.2432,0.4512,45.1217
February,8,160.0074,27,14.8464,0.4427,44.2662
February,9,161.4901,27,16.503,0.4468,44.6764
February,10,155.4911,28,15.3071,0.4302,43.0167
February,11,163.9107,28,23.0188,0.4535,45.346
February,12,160.8458,28,17.2406,0.445,44.4981
February,13,149.4405,28,15.9993,0.4134,41.3428
February,14,139.0399,28,17.3115,0.3847,38.4655
February,15,142.822,28,16.4816,0.3951,39.5118
February,16,151.2685,28,23.3699,0.4185,41.8485
February,17,150.8976,28,29.7667,0.4175,41.7459
February,18,148.3623,27,11.3671,0.4104,41.0445
February,19,138.9025,27,9.4833,0.3843,38.4275
February,20,123.2864,27,14.8151,0.3411,34.1073
February,21,112.3949,26,7.7025,0.3109,31.0941
February,22,112.3135,26,6.9634,0.3107,31.0716
February,23,82.3969,27,8.5283,0.228,22.7952
January,0,87.3876,31,7.2025,0.2418,24.1758
January,1,79.7419,31,5.6417,0.2206,22.0607
January,2,85.5382,31,4.8592,0.2366,23.6642
January,3,94.7962,31,6.0353,0.2623,26.2254
January,4,109.3688,31,6.7879,0.3026,30.257
January,5,115.228,31,7.5776,0.3188,31.8779
January,6,128.7403,31,11.9007,0.3562,35.6161
January,7,148.4177,31,11.675,0.4106,41.0599
January,8,153.0323,31,13.0855,0.4234,42.3365
January,9,151.6016,31,11.1639,0.4194,41.9407
January,10,146.3376,31,13.3005,0.4048,40.4844
January,11,154.1715,31,12.4615,0.4265,42.6517
January,12,153.7247,31,12.9853,0.4253,42.5281
January,13,143.25,31,14.6183,0.3963,39.6302
January,14,129.8935,31,14.6298,0.3594,35.9351
January,15,135.7446,31,18.1266,0.3755,37.5538
January,16,141.1204,31,16.9795,0.3904,39.0411
January,17,148.9909,31,16.1228,0.4122,41.2184
January,18,144.1022,31,13.4104,0.3987,39.866
January,19,142.0387,31,14.4444,0.393,39.2951
January,20,124.2532,31,13.3691,0.3437,34.3747
January,21,111.5683,31,5.6226,0.3087,30.8654
January,22,113.1548,31,6.9679,0.313,31.3044
January,23,80.8785,31,4.0031,0.2238,22.3751
July,0,123.8093,27,13.1009,0.3425,34.2519
July,1,95.9377,27,10.1266,0.2654,26.5412
July,2,103.129,27,9.2682,0.2853,28.5307
July,3,123.216,27,8.1956,0.3409,34.0878
July,4,138.4864,27,7.4096,0.3831,38.3124
July,5,161.0265,27,11.3893,0.4455,44.5481
July,6,195.6728,27,14.4936,0.5413,54.133
July,7,247.5321,27,20.6929,0.6848,68.4799
July,8,251.9611,27,24.351,0.6971,69.7052
July,9,224.7006,27,23.1641,0.6216,62.1636
July,10,202.0981,27,28.826,0.5591,55.9106
July,11,191.5444,27,21.4876,0.5299,52.9909
July,12,171.7765,27,21.8775,0.4752,47.5221
July,13,164.0473,25,19.7407,0.4538,45.3838
July,14,149.5469,27,33.8254,0.4137,41.3723
July,15,170.7731,26,18.2617,0.4724,47.2445
July,16,194.5064,26,19.9003,0.5381,53.8103
