day_type,hour,mean,count,std,load_factor,load_factor_pct
weekday,0,95.9468,260,17.6505,0.2654,26.5437
weekday,1,82.4397,259,10.3223,0.2281,22.807
weekday,2,90.9356,258,10.3723,0.2516,25.1574
weekday,3,110.6097,258,14.5273,0.306,30.6002
weekday,4,117.5293,258,15.1215,0.3251,32.5145
weekday,5,130.2128,263,24.7514,0.3602,36.0234
weekday,6,152.6074,267,33.3901,0.4222,42.2189
weekday,7,181.895,269,42.4748,0.5032,50.3214
weekday,8,185.1281,270,40.3291,0.5122,51.2158
weekday,9,179.7218,270,33.8107,0.4972,49.7202
weekday,10,164.2516,271,35.7389,0.4544,45.4403
weekday,11,162.5648,271,36.814,0.4497,44.9737
weekday,12,153.4252,270,34.4971,0.4245,42.4452
weekday,13,145.0704,268,30.1539,0.4013,40.1338
weekday,14,138.971,269,27.6309,0.3845,38.4464
weekday,15,141.2059,267,23.8562,0.3906,39.0647
weekday,16,150.532,268,30.8417,0.4164,41.6448
weekday,17,156.5777,269,36.3132,0.4332,43.3173
weekday,18,158.841,266,40.4194,0.4394,43.9435
weekday,19,151.4639,261,29.7114,0.419,41.9026
weekday,20,136.4602,260,28.4124,0.3775,37.7518
weekday,21,122.1295,261,26.5603,0.3379,33.7872
weekday,22,115.4137,260,18.9091,0.3193,31.9293
weekday,23,87.2897,261,13.1554,0.2415,24.1488
weekend,0,95.3203,99,17.0519,0.2637,26.3704
weekend,1,83.9971,100,10.5622,0.2324,23.2378
weekend,2,90.78,100,10.8967,0.2511,25.1144
weekend,3,108.7968,100,14.839,0.301,30.0987
weekend,4,119.1696,99,16.8996,0.3297,32.9684
weekend,5,127.8903,101,25.8273,0.3538,35.381
weekend,6,144.2016,103,33.7407,0.3989,39.8935
weekend,7,169.9267,104,40.0699,0.4701,47.0103
weekend,8,167.1282,105,41.4092,0.4624,46.2361
weekend,9,168.8339,105,35.1986,0.4671,46.708
weekend,10,159.1441,107,35.9613,0.4403,44.0273
weekend,11,156.209,107,33.6078,0.4322,43.2153
weekend,12,150.3089,107,37.8527,0.4158,41.583
weekend,13,143.5589,107,34.8627,0.3972,39.7157
weekend,14,133.1509,108,27.8275,0.3684,36.8363
weekend,15,133.0397,108,23.5807,0.3681,36.8055
weekend,16,142.2201,108,31.8013,0.3935,39.3453
weekend,17,143.8122,108,45.361,0.3979,39.7857
weekend,18,154.6099,102,39.7425,0.4277,42.7729
weekend,19,146.8849,101,33.1858,0.4064,40.6358
weekend,20,130.2592,100,31.7615,0.3604,36.0363
weekend,21,120.634,97,24.6899,0.3337,33.3735
weekend,22,114.3216,97,16.8096,0.3163,31.6271
weekend,23,86.104,99,11.8148,0.2382,23.8207
