DateTime,Year,Month,Day,Hour,DayOfWeek,DayType,MonthName,BaseLoadFactor,LoadFactor,MonthlyConsumption_kWh,MonthlyDemand_kW,HourlyLoad_kW
2025-01-01 00:00:00,2025,1,1,0,2,Weekday,Jan,0.257142857,0.2699,12044,48,13.62
2025-01-01 01:00:00,2025,1,1,1,2,Weekday,Jan,0.285714286,0.2818,12044,48,14.21
2025-01-01 02:00:00,2025,1,1,2,2,Weekday,Jan,0.342857143,0.3651,12044,48,18.41
2025-01-01 03:00:00,2025,1,1,3,2,Weekday,Jan,0.371428571,0.428,12044,48,21.58
2025-01-01 04:00:00,2025,1,1,4,2,Weekday,Jan,0.428571429,0.4185,12044,48,21.11
2025-01-01 05:00:00,2025,1,1,5,2,Weekday,Jan,0.285714286,0.279,12044,48,14.07
2025-01-01 06:00:00,2025,1,1,6,2,Weekday,Jan,0.342857143,0.397,12044,48,20.03
2025-01-01 07:00:00,2025,1,1,7,2,Weekday,Jan,0.742857143,0.7999,12044,48,40.34
2025-01-01 08:00:00,2025,1,1,8,2,Weekday,Jan,0.814285714,0.7761,12044,48,39.14
2025-01-01 09:00:00,2025,1,1,9,2,Weekday,Jan,0.685714286,0.7229,12044,48,36.46
2025-01-01 10:00:00,2025,1,1,10,2,Weekday,Jan,0.485714286,0.4632,12044,48,23.36
2025-01-01 11:00:00,2025,1,1,11,2,Weekday,Jan,0.428571429,0.4086,12044,48,20.61
2025-01-01 12:00:00,2025,1,1,12,2,Weekday,Jan,0.428571429,0.4389,12044,48,22.14
2025-01-01 13:00:00,2025,1,1,13,2,Weekday,Jan,0.371428571,0.3004,12044,48,15.15
2025-01-01 14:00:00,2025,1,1,14,2,Weekday,Jan,0.285714286,0.2364,12044,48,11.93
2025-01-01 15:00:00,2025,1,1,15,2,Weekday,Jan,0.314285714,0.2966,12044,48,14.96
2025-01-01 16:00:00,2025,1,1,16,2,Weekday,Jan,0.371428571,0.3338,12044,48,16.83
2025-01-01 17:00:00,2025,1,1,17,2,Weekday,Jan,0.371428571,0.3831,12044,48,19.32
2025-01-01 18:00:00,2025,1,1,18,2,Weekday,Jan,0.342857143,0.3117,12044,48,15.72
2025-01-01 19:00:00,2025,1,1,19,2,Weekday,Jan,0.428571429,0.368,12044,48,18.57
2025-01-01 20:00:00,2025,1,1,20,2,Weekday,Jan,0.428571429,0.4914,12044,48,24.79
2025-01-01 21:00:00,2025,1,1,21,2,Weekday,Jan,0.4,0.391,12044,48,19.72
2025-01-01 22:00:00,2025,1,1,22,2,Weekday,Jan,0.314285714,0.3164,12044,48,15.96
2025-01-01 23:00:00,2025,1,1,23,2,Weekday,Jan,0.285714286,0.245,12044,48,12.36
2025-01-02 00:00:00,2025,1,2,0,3,Weekday,Jan,0.257142857,0.2431,12044,48,12.26
2025-01-02 01:00:00,2025,1,2,1,3,Weekday,Jan,0.285714286,0.2889,12044,48,14.57
2025-01-02 02:00:00,2025,1,2,2,3,Weekday,Jan,0.342857143,0.3034,12044,48,15.3
2025-01-02 03:00:00,2025,1,2,3,3,Weekday,Jan,0.371428571,0.3854,12044,48,19.44
2025-01-02 04:00:00,2025,1,2,4,3,Weekday,Jan,0.428571429,0.4028,12044,48,20.32
2025-01-02 05:00:00,2025,1,2,5,3,Weekday,Jan,0.285714286,0.2774,12044,48,13.99
2025-01-02 06:00:00,2025,1,2,6,3,Weekday,Jan,0.342857143,0.3222,12044,48,16.26
2025-01-02 07:00:00,2025,1,2,7,3,Weekday,Jan,0.742857143,0.8805,12044,48,44.41
2025-01-02 08:00:00,2025,1,2,8,3,Weekday,Jan,0.814285714,0.8132,12044,48,41.01
2025-01-02 09:00:00,2025,1,2,9,3,Weekday,Jan,0.685714286,0.6132,12044,48,30.92
2025-01-02 10:00:00,2025,1,2,10,3,Weekday,Jan,0.485714286,0.5257,12044,48,26.51
2025-01-02 11:00:00,2025,1,2,11,3,Weekday,Jan,0.428571429,0.3762,12044,48,18.98
2025-01-02 12:00:00,2025,1,2,12,3,Weekday,Jan,0.428571429,0.4375,12044,48,22.07
2025-01-02 13:00:00,2025,1,2,13,3,Weekday,Jan,0.371428571,0.2986,12044,48,15.06
2025-01-02 14:00:00,2025,1,2,14,3,Weekday,Jan,0.285714286,0.2478,12044,48,12.49
2025-01-02 15:00:00,2025,1,2,15,3,Weekday,Jan,0.314285714,0.3205,12044,48,16.16
2025-01-02 16:00:00,2025,1,2,16,3,Weekday,Jan,0.371428571,0.3989,12044,48,20.12
2025-01-02 17:00:00,2025,1,2,17,3,Weekday,Jan,0.371428571,0.3778,12044,48,19.05
2025-01-02 18:00:00,2025,1,2,18,3,Weekday,Jan,0.342857143,0.3389,12044,48,17.1
2025-01-02 19:00:00,2025,1,2,19,3,Weekday,Jan,0.428571429,0.4157,12044,48,20.96
2025-01-02 20:00:00,2025,1,2,20,3,Weekday,Jan,0.428571429,0.3652,12044,48,18.42
