day_type,hour,mean,count,std,load_factor,load_factor_pct
weekday,0,96.6232,268,16.7233,0.2673,26.7309
weekday,1,89.444,268,16.7133,0.2474,24.7447
weekday,2,94.3446,267,12.7757,0.261,26.1005
weekday,3,112.3974,267,15.5557,0.3109,31.0948
weekday,4,125.2911,267,20.436,0.3466,34.6619
weekday,5,137.3711,272,28.8147,0.38,38.0038
weekday,6,154.6495,276,33.248,0.4278,42.7839
weekday,7,180.6986,278,42.3674,0.4999,49.9904
weekday,8,180.0477,279,43.6527,0.4981,49.8103
weekday,9,174.4838,279,36.8593,0.4827,48.2711
weekday,10,162.0396,280,36.4328,0.4483,44.8284
weekday,11,160.1437,280,37.9366,0.443,44.3039
weekday,12,152.7199,280,35.1268,0.4225,42.2501
weekday,13,145.7369,277,29.9447,0.4032,40.3182
weekday,14,139.3921,277,27.9981,0.3856,38.5629
weekday,15,142.614,276,23.7788,0.3945,39.4543
weekday,16,150.821,277,31.2611,0.4172,41.7247
weekday,17,153.836,279,37.7602,0.4256,42.5588
weekday,18,154.5539,275,41.7743,0.4276,42.7575
weekday,19,144.8829,270,35.3398,0.4008,40.0819
weekday,20,130.6149,270,32.8612,0.3613,36.1347
weekday,21,117.9107,270,29.1865,0.3262,32.6201
weekday,22,112.8777,269,21.802,0.3123,31.2277
weekday,23,86.2062,269,13.4892,0.2385,23.849
weekend,0,96.2607,101,16.1678,0.2663,26.6306
weekend,1,90.4516,102,15.4287,0.2502,25.0235
weekend,2,93.8381,102,12.7784,0.2596,25.9604
weekend,3,110.3138,102,15.8308,0.3052,30.5184
weekend,4,124.7651,101,18.2451,0.3452,34.5163
weekend,5,131.6924,103,26.721,0.3643,36.4328
weekend,6,144.7914,105,33.4776,0.4006,40.0566
weekend,7,170.0136,106,39.6172,0.4703,47.0344
weekend,8,163.8436,107,43.095,0.4533,45.3274
weekend,9,163.2051,107,38.8757,0.4515,45.1508
weekend,10,155.9567,109,38.1788,0.4315,43.1455
weekend,11,153.8042,109,35.5208,0.4255,42.55
weekend,12,150.6017,109,37.0816,0.4166,41.6641
weekend,13,144.5764,109,33.7856,0.4,39.9972
weekend,14,134.8242,110,27.7667,0.373,37.2992
weekend,15,135.3343,110,23.7745,0.3744,37.4403
weekend,16,142.9305,110,31.4383,0.3954,39.5418
weekend,17,142.3232,110,44.9153,0.3937,39.3738
weekend,18,149.5624,104,41.9597,0.4138,41.3765
weekend,19,140.5962,103,37.8285,0.389,38.896
weekend,20,125.718,102,34.966,0.3478,34.78
weekend,21,116.9204,99,28.2679,0.3235,32.3461
weekend,22,112.9565,99,18.2284,0.3125,31.2495
weekend,23,84.9505,101,12.5024,0.235,23.5016
