DateTime,Month,Hour,monthly_demand,load_factor,monthly_multiplier,peak_multiplier,hourly_load
2025-01-01 00:00:00,1,0,245.55,0.27,1.8146,1,120.29
2025-01-01 01:00:00,1,1,245.55,0.2467,1.8146,1,109.93
2025-01-01 02:00:00,1,2,245.55,0.2644,1.8146,1,117.8
2025-01-01 03:00:00,1,3,245.55,0.3204,1.8146,1,142.75
2025-01-01 04:00:00,1,4,245.55,0.345,1.8146,1,153.71
2025-01-01 05:00:00,1,5,245.55,0.3782,1.8146,1,168.53
2025-01-01 06:00:00,1,6,245.55,0.4413,1.8146,1,196.64
2025-01-01 07:00:00,1,7,245.55,0.5076,1.8146,1,226.16
2025-01-01 08:00:00,1,8,245.55,0.4934,1.8146,1,219.86
2025-01-01 09:00:00,1,9,245.55,0.4879,1.8146,1,217.42
2025-01-01 10:00:00,1,10,245.55,0.4441,1.8146,1,197.9
2025-01-01 11:00:00,1,11,245.55,0.4389,1.8146,1,195.55
2025-01-01 12:00:00,1,12,245.55,0.4245,1.8146,1,189.17
2025-01-01 13:00:00,1,13,245.55,0.3878,1.8146,1,172.78
2025-01-01 14:00:00,1,14,245.55,0.3723,1.8146,1,165.89
2025-01-01 15:00:00,1,15,245.55,0.3901,1.8146,1,173.8
2025-01-01 16:00:00,1,16,245.55,0.4087,1.8146,1,182.13
2025-01-01 17:00:00,1,17,245.55,0.4283,1.8146,1,190.83
2025-01-01 18:00:00,1,18,245.55,0.4198,1.8146,1,187.07
2025-01-01 19:00:00,1,19,245.55,0.3895,1.8146,1,173.54
2025-01-01 20:00:00,1,20,245.55,0.3719,1.8146,1,165.71
2025-01-01 21:00:00,1,21,245.55,0.3247,1.8146,1,144.69
2025-01-01 22:00:00,1,22,245.55,0.3127,1.8146,1,139.34
2025-01-01 23:00:00,1,23,245.55,0.2317,1.8146,1,103.24
2025-01-02 00:00:00,1,0,245.55,0.2644,1.8146,1,117.81
2025-01-02 01:00:00,1,1,245.55,0.2479,1.8146,1,110.48
2025-01-02 02:00:00,1,2,245.55,0.255,1.8146,1,113.62
2025-01-02 03:00:00,1,3,245.55,0.3132,1.8146,1,139.57
2025-01-02 04:00:00,1,4,245.55,0.3424,1.8146,1,152.58
2025-01-02 05:00:00,1,5,245.55,0.3778,1.8146,1,168.33
2025-01-02 06:00:00,1,6,245.55,0.4227,1.8146,1,188.33
2025-01-02 07:00:00,1,7,245.55,0.5184,1.8146,1,231.0
2025-01-02 08:00:00,1,8,245.55,0.498,1.8146,1,221.88
2025-01-02 09:00:00,1,9,245.55,0.4725,1.8146,1,210.53
2025-01-02 10:00:00,1,10,245.55,0.4557,1.8146,1,203.04
2025-01-02 11:00:00,1,11,245.55,0.4322,1.8146,1,192.57
2025-01-02 12:00:00,1,12,245.55,0.4243,1.8146,1,189.04
2025-01-02 13:00:00,1,13,245.55,0.3874,1.8146,1,172.62
2025-01-02 14:00:00,1,14,245.55,0.3754,1.8146,1,167.25
2025-01-02 15:00:00,1,15,245.55,0.3961,1.8146,1,176.47
2025-01-02 16:00:00,1,16,245.55,0.4234,1.8146,1,188.64
2025-01-02 17:00:00,1,17,245.55,0.4271,1.8146,1,190.29
2025-01-02 18:00:00,1,18,245.55,0.4266,1.8146,1,190.09
2025-01-02 19:00:00,1,19,245.55,0.3984,1.8146,1,177.51
2025-01-02 20:00:00,1,20,245.55,0.3506,1.8146,1,156.23
2025-01-02 21:00:00,1,21,245.55,0.3215,1.8146,1,143.26
2025-01-02 22:00:00,1,22,245.55,0.3094,1.8146,1,137.87
2025-01-02 23:00:00,1,23,245.55,0.2435,1.8146,1,108.52
2025-01-03 00:00:00,1,0,245.55,0.2691,1.8146,1,119.92
2025-01-03 01:00:00,1,1,245.55,0.2387,1.8146,1,106.35
2025-01-03 02:00:00,1,2,245.55,0.2627,1.8146,1,117.05
2025-01-03 03:00:00,1,3,245.55,0.3085,1.8146,1,137.46
2025-01-03 04:00:00,1,4,245.55,0.3419,1.8146,1,152.35
2025-01-03 05:00:00,1,5,245.55,0.3846,1.8146,1,171.39
2025-01-03 06:00:00,1,6,245.55,0.4366,1.8146,1,194.55
2025-01-03 07:00:00,1,7,245.55,0.5092,1.8146,1,226.89
2025-01-03 08:00:00,1,8,245.55,0.4897,1.8146,1,218.22
2025-01-03 09:00:00,1,9,245.55,0.4797,1.8146,1,213.75
2025-01-03 10:00:00,1,10,245.55,0.4513,1.8146,1,201.08
2025-01-03 11:00:00,1,11,245.55,0.4516,1.8146,1,201.24
2025-01-03 12:00:00,1,12,245.55,0.4185,1.8146,1,186.45
2025-01-03 13:00:00,1,13,245.55,0.4017,1.8146,1,178.99
2025-01-03 14:00:00,1,14,245.55,0.3771,1.8146,1,168.01
2025-01-03 15:00:00,1,15,245.55,0.3851,1.8146,1,171.58
2025-01-03 16:00:00,1,16,245.55,0.424,1.8146,1,188.92
2025-01-03 17:00:00,1,17,245.55,0.4371,1.8146,1,194.78
2025-01-03 18:00:00,1,18,245.55,0.427,1.8146,1,190.26
2025-01-03 19:00:00,1,19,245.55,0.4088,1.8146,1,182.17
2025-01-03 20:00:00,1,20,245.55,0.3639,1.8146,1,162.15
2025-01-03 21:00:00,1,21,245.55,0.322,1.8146,1,143.47
2025-01-03 22:00:00,1,22,245.55,0.3146,1.8146,1,140.16
2025-01-03 23:00:00,1,23,245.55,0.2458,1.8146,1,109.54
2025-01-04 00:00:00,1,0,245.55,0.2661,1.8146,1,118.57
2025-01-04 01:00:00,1,1,245.55,0.258,1.8146,1,114.97
2025-01-04 02:00:00,1,2,245.55,0.246,1.8146,1,109.61
2025-01-04 03:00:00,1,3,245.55,0.3102,1.8146,1,138.23
2025-01-04 04:00:00,1,4,245.55,0.3458,1.8146,1,154.08
2025-01-04 05:00:00,1,5,245.55,0.3621,1.8146,1,161.35
2025-01-04 06:00:00,1,6,245.55,0.4013,1.8146,1,178.83
2025-01-04 07:00:00,1,7,245.55,0.4516,1.8146,1,201.23
2025-01-04 08:00:00,1,8,245.55,0.4513,1.8146,1,201.09
2025-01-04 09:00:00,1,9,245.55,0.4547,1.8146,1,202.62
2025-01-04 10:00:00,1,10,245.55,0.4443,1.8146,1,197.95
2025-01-04 11:00:00,1,11,245.55,0.4211,1.8146,1,187.63
2025-01-04 12:00:00,1,12,245.55,0.4099,1.8146,1,182.63
2025-01-04 13:00:00,1,13,245.55,0.396,1.8146,1,176.44
2025-01-04 14:00:00,1,14,245.55,0.3798,1.8146,1,169.24
2025-01-04 15:00:00,1,15,245.55,0.3769,1.8146,1,167.92
2025-01-04 16:00:00,1,16,245.55,0.3912,1.8146,1,174.32
2025-01-04 17:00:00,1,17,245.55,0.3977,1.8146,1,177.23
2025-01-04 18:00:00,1,18,245.55,0.4146,1.8146,1,184.74
2025-01-04 19:00:00,1,19,245.55,0.3965,1.8146,1,176.69
2025-01-04 20:00:00,1,20,245.55,0.3429,1.8146,1,152.8
2025-01-04 21:00:00,1,21,245.55,0.3214,1.8146,1,143.2
2025-01-04 22:00:00,1,22,245.55,0.31,1.8146,1,138.15
2025-01-04 23:00:00,1,23,245.55,0.2281,1.8146,1,101.65
2025-01-05 00:00:00,1,0,245.55,0.2679,1.8146,1,119.36
2025-01-05 01:00:00,1,1,245.55,0.2515,1.8146,1,112.07
2025-01-05 02:00:00,1,2,245.55,0.2596,1.8146,1,115.68
2025-01-05 03:00:00,1,3,245.55,0.3038,1.8146,1,135.35
2025-01-05 04:00:00,1,4,245.55,0.3354,1.8146,1,149.46
2025-01-05 05:00:00,1,5,245.55,0.3612,1.8146,1,160.96
2025-01-05 06:00:00,1,6,245.55,0.3979,1.8146,1,177.28
2025-01-05 07:00:00,1,7,245.55,0.4628,1.8146,1,206.19
2025-01-05 08:00:00,1,8,245.55,0.4518,1.8146,1,201.33
2025-01-05 09:00:00,1,9,245.55,0.4551,1.8146,1,202.81
2025-01-05 10:00:00,1,10,245.55,0.4478,1.8146,1,199.52
2025-01-05 11:00:00,1,11,245.55,0.427,1.8146,1,190.26
