month_name,hour,mean,count,std,load_factor,load_factor_pct
April,0,60.372,30,7.4167,0.162,16.2043
April,1,56.4321,30,7.4472,0.1515,15.1468
April,2,56.9286,30,9.4135,0.1528,15.28
April,3,56.5925,30,10.3896,0.1519,15.1898
April,4,54.5666,30,9.7556,0.1465,14.6461
April,5,66.132,30,16.9703,0.1775,17.7503
April,6,89.0359,30,20.6388,0.239,23.8979
April,7,87.6062,30,23.5449,0.2351,23.5141
April,8,82.2288,30,23.5888,0.2207,22.0708
April,9,76.5859,30,14.2674,0.2056,20.5562
April,10,75.1042,30,16.4413,0.2016,20.1585
April,11,75.2149,30,13.3054,0.2019,20.1882
April,12,72.1418,30,18.3353,0.1936,19.3634
April,13,80.0669,30,23.9045,0.2149,21.4905
April,14,84.1146,30,26.7661,0.2258,22.577
April,15,107.1981,30,33.9658,0.2877,28.7727
April,16,91.4412,30,24.9112,0.2454,24.5435
April,17,97.5351,30,18.1688,0.2618,26.1791
April,18,122.6736,30,22.3807,0.3293,32.9265
April,19,120.2956,30,23.7239,0.3229,32.2882
April,20,107.078,30,18.3274,0.2874,28.7405
April,21,93.6832,30,19.9428,0.2515,25.1452
April,22,71.8363,30,10.7025,0.1928,19.2814
April,23,64.5013,30,10.8295,0.1731,17.3126
August,0,69.9631,31,17.4375,0.1878,18.7786
August,1,67.6594,31,11.5381,0.1816,18.1603
August,2,64.4111,31,12.1608,0.1729,17.2884
August,3,62.9985,31,14.0887,0.1691,16.9092
August,4,61.9608,31,11.7878,0.1663,16.6307
August,5,80.4895,31,19.9931,0.216,21.604
August,6,106.8943,31,35.4277,0.2869,28.6912
August,7,168.6513,31,61.8754,0.4527,45.2672
August,8,159.1916,31,57.4537,0.4273,42.7282
August,9,147.0582,31,40.9744,0.3947,39.4715
August,10,128.5906,31,27.6252,0.3451,34.5146
August,11,110.8406,31,28.7631,0.2975,29.7504
August,12,102.5836,31,23.6672,0.2753,27.5342
August,13,110.533,31,26.9813,0.2967,29.6679
August,14,111.6943,31,28.8273,0.2998,29.9795
August,15,128.1894,31,42.5773,0.3441,34.407
August,16,132.3178,31,42.2343,0.3552,35.515
August,17,153.7654,31,29.2429,0.4127,41.2717
August,18,196.1587,31,43.7246,0.5265,52.6504
August,19,176.807,31,36.5407,0.4746,47.4563
August,20,153.6678,31,20.4232,0.4125,41.2455
August,21,145.3767,31,31.6296,0.3902,39.0201
August,22,106.0298,31,26.1055,0.2846,28.4591
August,23,77.9806,31,17.6239,0.2093,20.9306
December,0,61.0946,31,11.0135,0.164,16.3982
December,1,55.4792,31,7.7758,0.1489,14.891
December,2,54.7333,31,7.8703,0.1469,14.6908
December,3,55.7908,31,9.746,0.1497,14.9746
December,4,55.1669,31,11.3697,0.1481,14.8072
December,5,71.8146,31,15.7769,0.1928,19.2755
December,6,99.6975,31,29.2525,0.2676,26.7595
December,7,85.1664,31,26.3765,0.2286,22.8593
December,8,83.2593,31,19.3031,0.2235,22.3474
December,9,81.0184,31,15.4549,0.2175,21.7459
December,10,76.2492,31,19.3295,0.2047,20.4658
December,11,80.4044,31,18.4285,0.2158,21.5811
December,12,91.4229,31,24.8371,0.2454,24.5385
December,13,100.216,31,42.2262,0.269,26.8987
December,14,98.9911,31,27.5252,0.2657,26.5699
December,15,106.0183,31,35.019,0.2846,28.4561
December,16,107.9818,31,33.4131,0.2898,28.9831
December,17,113.9565,31,34.9458,0.3059,30.5867
December,18,123.8511,31,30.9691,0.3324,33.2425
December,19,123.2669,31,23.9346,0.3309,33.0857
December,20,121.065,31,20.8125,0.3249,32.4947
December,21,103.2229,31,20.3762,0.2771,27.7058
December,22,75.702,31,14.1593,0.2032,20.319
December,23,71.5063,31,14.2801,0.1919,19.1928
February,0,67.849,28,25.6918,0.1821,18.2111
February,1,60.2793,28,10.9404,0.1618,16.1794
February,2,55.48,28,13.7796,0.1489,14.8912
February,3,55.6036,28,15.2518,0.1492,14.9244
February,4,59.8415,28,22.3862,0.1606,16.0619
February,5,64.2396,28,17.7007,0.1724,17.2424
February,6,94.3907,28,27.4778,0.2534,25.3351
February,7,98.7384,28,22.1703,0.265,26.5021
February,8,83.6844,28,15.6529,0.2246,22.4615
February,9,77.0074,28,12.4971,0.2067,20.6693
February,10,72.7507,28,14.2874,0.1953,19.5268
February,11,76.3502,28,18.1552,0.2049,20.4929
February,12,73.1254,28,21.5751,0.1963,19.6274
February,13,86.1324,28,27.6273,0.2312,23.1186
February,14,88.3057,28,32.338,0.237,23.7019
February,15,101.4313,28,34.2502,0.2722,27.2249
February,16,116.8779,28,31.1774,0.3137,31.3709
February,17,107.2473,28,25.5825,0.2879,28.7859
February,18,121.2142,28,23.8996,0.3253,32.5347
February,19,121.212,28,17.6009,0.3253,32.5342
February,20,114.2662,28,24.2258,0.3067,30.6699
February,21,97.0015,28,26.114,0.2604,26.0359
February,22,75.828,28,20.9404,0.2035,20.3528
February,23,66.2492,28,12.971,0.1778,17.7818
January,0,63.7806,31,9.5442,0.1712,17.1192
January,1,57.3759,31,7.7193,0.154,15.4001
January,2,59.7426,31,9.9686,0.1604,16.0353
January,3,58.5733,31,8.0701,0.1572,15.7215
January,4,55.543,31,6.2176,0.1491,14.9081
January,5,69.5988,31,13.4495,0.1868,18.6808
January,6,99.3392,31,29.3198,0.2666,26.6634
January,7,89.0363,31,19.977,0.239,23.898
January,8,82.2851,31,24.3357,0.2209,22.0859
January,9,76.6719,31,17.9023,0.2058,20.5793
January,10,75.8142,31,15.3715,0.2035,20.3491
January,11,85.1089,31,24.9166,0.2284,22.8438
January,12,88.7812,31,20.8256,0.2383,23.8295
January,13,90.7175,31,23.9394,0.2435,24.3492
January,14,91.2344,31,23.5942,0.2449,24.488
January,15,99.1953,31,29.5335,0.2662,26.6247
January,16,113.7678,31,31.8431,0.3054,30.5361
January,17,108.4514,31,27.5373,0.2911,29.1091
January,18,129.5182,31,33.027,0.3476,34.7636
January,19,128.4762,31,27.3727,0.3448,34.4839
January,20,118.9207,31,18.8382,0.3192,31.9192
January,21,113.4796,31,18.5583,0.3046,30.4587
January,22,78.838,31,19.7589,0.2116,21.1607
January,23,66.1657,31,10.8155,0.1776,17.7593
July,0,69.1011,31,11.2147,0.1855,18.5472
July,1,69.1779,31,13.3339,0.1857,18.5678
July,2,58.3385,31,9.7407,0.1566,15.6585
July,3,65.8485,31,12.9744,0.1767,17.6742
July,4,63.5111,31,18.6214,0.1705,17.0468
July,5,82.842,31,23.4682,0.2224,22.2354
July,6,133.0851,31,32.856,0.3572,35.721
July,7,183.4432,31,57.7735,0.4924,49.2375
July,8,166.4745,31,43.9924,0.4468,44.6829
July,9,172.8848,31,51.1605,0.464,46.4035
July,10,145.9635,31,44.79,0.3918,39.1777
July,11,130.2623,31,36.338,0.3496,34.9633
July,12,120.2293,31,39.6404,0.3227,32.2704
July,13,133.2622,31,41.2065,0.3577,35.7685
July,14,145.7158,31,52.0444,0.3911,39.1112
July,15,143.917,31,48.542,0.3863,38.6283
July,16,166.5421,31,50.9404,0.447,44.7011
July,17,190.3541,31,45.488,0.5109,51.0924
July,18,245.1403,31,54.0205,0.658,65.7974
July,19,197.7384,31,39.5016,0.5307,53.0744
July,20,185.2098,31,34.7661,0.4971,49.7116
July,21,163.1009,31,27.944,0.4378,43.7774
July,22,100.296,31,20.8452,0.2692,26.9202
July,23,78.8073,31,16.3293,0.2115,21.1525
June,0,65.7274,30,15.0105,0.1764,17.6417
June,1,62.2063,30,11.7379,0.167,16.6966
June,2,58.0322,30,13.3818,0.1558,15.5763
June,3,60.3629,30,14.1459,0.162,16.2018
June,4,57.3707,30,11.3726,0.154,15.3987
June,5,73.2584,30,14.5731,0.1966,19.6631
June,6,125.198,30,36.7551,0.336,33.604
June,7,137.8051,30,59.7242,0.3699,36.9879
June,8,157.4578,30,41.6208,0.4226,42.2628
June,9,158.8295,30,45.8967,0.4263,42.631
June,10,146.1985,30,48.7622,0.3924,39.2407
June,11,117.0274,30,40.2353,0.3141,31.411
June,12,112.6546,30,49.1598,0.3024,30.2373
June,13,122.7151,30,46.9146,0.3294,32.9376
June,14,150.6908,30,53.499,0.4045,40.4465
June,15,153.7967,30,65.4987,0.4128,41.2801
June,16,166.2138,30,75.9653,0.4461,44.613
June,17,185.0403,30,50.1203,0.4967,49.6661
June,18,217.1743,30,58.3233,0.5829,58.2911
June,19,187.2477,30,46.0575,0.5026,50.2586
June,20,156.2967,30,30.4433,0.4195,41.9511
June,21,145.932,30,27.8934,0.3917,39.1692
June,22,95.3,30,22.6316,0.2558,25.5792
June,23,82.1869,30,22.0978,0.2206,22.0596
March,0,67.6121,31,15.1391,0.1815,18.1476
March,1,60.0561,31,10.8336,0.1612,16.1195
March,2,60.3355,31,15.8179,0.1619,16.1945
March,3,54.8851,31,12.1793,0.1473,14.7316
March,4,60.4543,31,14.1745,0.1623,16.2264
March,5,62.6005,31,13.3765,0.168,16.8024
March,6,87.4566,31,14.7066,0.2347,23.474
March,7,99.9457,31,24.3686,0.2683,26.8261
March,8,82.4277,31,14.1924,0.2212,22.1242
March,9,83.5624,31,16.3529,0.2243,22.4287
March,10,79.7043,31,19.3891,0.2139,21.3932
March,11,75.8424,31,19.5173,0.2036,20.3566
March,12,79.2817,31,19.9615,0.2128,21.2798
March,13,91.8428,31,26.1906,0.2465,24.6513
March,14,93.8088,31,30.3034,0.2518,25.179
March,15,103.5891,31,31.5094,0.278,27.804
March,16,103.1447,31,32.4824,0.2768,27.6848
March,17,108.7977,31,33.9292,0.292,29.2021
March,18,120.0906,31,28.6428,0.3223,32.2332
March,19,128.3554,31,21.0989,0.3445,34.4515
March,20,113.8959,31,25.2786,0.3057,30.5705
March,21,104.8626,31,26.7819,0.2815,28.1459
March,22,79.375,31,23.7722,0.213,21.3048
March,23,65.9006,31,13.4996,0.1769,17.6882
May,0,61.413,31,11.9858,0.1648,16.4837
May,1,57.4923,31,11.0835,0.1543,15.4313
May,2,56.6678,31,10.0716,0.1521,15.21
May,3,52.9422,31,7.3181,0.1421,14.2101
May,4,54.1898,31,10.1911,0.1454,14.5449
May,5,71.832,31,15.1404,0.1928,19.2802
May,6,100.8188,31,34.4328,0.2706,27.0605
May,7,107.1077,31,31.7256,0.2875,28.7485
May,8,113.5319,31,33.5421,0.3047,30.4728
May,9,112.9278,31,28.5804,0.3031,30.3106
May,10,103.5799,31,28.3638,0.278,27.8016
May,11,94.2573,31,29.7744,0.253,25.2993
