day_type,hour,mean,count,std,load_factor,load_factor_pct
weekday,0,64.4251,243,13.9453,0.1729,17.2921
weekday,1,60.5796,243,11.5466,0.1626,16.26
weekday,2,59.3121,243,11.7234,0.1592,15.9198
weekday,3,57.891,243,11.7545,0.1554,15.5384
weekday,4,57.5314,243,12.6462,0.1544,15.4418
weekday,5,74.6158,243,16.5207,0.2003,20.0274
weekday,6,108.3472,243,33.3614,0.2908,29.0811
weekday,7,125.2105,243,52.6877,0.3361,33.6074
weekday,8,113.2137,243,48.3477,0.3039,30.3874
weekday,9,110.8629,243,47.6767,0.2976,29.7564
weekday,10,98.8169,243,37.7296,0.2652,26.5232
weekday,11,92.3001,243,29.6201,0.2477,24.774
weekday,12,91.2266,243,30.0886,0.2449,24.4859
weekday,13,95.7917,243,32.5585,0.2571,25.7112
weekday,14,102.7248,243,38.9411,0.2757,27.5721
weekday,15,108.9779,244,38.3656,0.2925,29.2504
weekday,16,117.9866,244,44.8925,0.3167,31.6684
weekday,17,133.502,244,46.5415,0.3583,35.8329
weekday,18,160.6475,244,56.6826,0.4312,43.1189
weekday,19,147.7562,244,40.0652,0.3966,39.6588
weekday,20,132.128,243,31.4216,0.3546,35.4641
weekday,21,121.3555,243,32.8037,0.3257,32.5727
weekday,22,82.4269,243,21.7066,0.2212,22.124
weekday,23,71.2687,243,15.2837,0.1913,19.129
weekend,0,66.7095,98,14.6,0.1791,17.9053
weekend,1,62.1064,98,11.4668,0.1667,16.6698
weekend,2,58.0534,98,11.3995,0.1558,15.5819
weekend,3,58.8054,98,13.2907,0.1578,15.7838
weekend,4,59.086,98,14.7876,0.1586,15.8591
weekend,5,67.3586,98,18.9681,0.1808,18.0795
weekend,6,94.2407,98,25.0038,0.2529,25.2949
weekend,7,98.2243,98,38.2417,0.2636,26.3641
weekend,8,106.4087,98,40.7054,0.2856,28.5608
weekend,9,104.1951,98,39.2167,0.2797,27.9667
weekend,10,100.5836,98,41.3051,0.27,26.9974
weekend,11,93.9732,98,34.0911,0.2522,25.2231
weekend,12,92.6577,98,31.7333,0.2487,24.87
weekend,13,108.8338,98,37.3684,0.2921,29.2118
weekend,14,106.1678,98,42.8604,0.285,28.4962
weekend,15,124.4744,98,49.4854,0.3341,33.4098
weekend,16,127.9849,98,47.6537,0.3435,34.3521
weekend,17,128.3933,98,43.3874,0.3446,34.4617
weekend,18,144.8403,98,52.1092,0.3888,38.8762
weekend,19,144.0535,98,41.6933,0.3866,38.665
weekend,20,127.6224,98,36.9614,0.3425,34.2548
weekend,21,114.7467,98,33.3289,0.308,30.7988
weekend,22,84.6277,98,22.3564,0.2271,22.7147
weekend,23,69.2233,98,16.3902,0.1858,18.58
